EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,si_dt,fn_dt,si_mod_dt,diff_sec,Anomaly_Time,Anomaly_Zero,Chronos_Score
37908,6,true,214623,3,.\Users\user\AppData\Local\Microsoft\OneDrive\StandaloneUpdater,OneDriveSetup.exe,.exe,98869096,1,,false,false,false,false,false,true,Archive|RecallOnOpen,Windows,2025-12-24 21:50:20.0550000,2025-12-24 21:46:44.2757858,2025-12-24 21:46:55.4532966,2025-12-24 21:46:44.2757858,2025-12-24 21:50:20.0554856,2025-12-24 21:46:44.2757858,2025-12-24 21:47:18.6343956,2025-12-24 21:46:44.2757858,308510000,1562862849,1905,,,,2025-12-24T21:50:20.055000,2025-12-24T21:46:44.275785,2025-12-24T21:46:55.453296,215,FALSIFIED_FUTURE,"",100
5947,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,MXDWDRV.DLL,.DLL,753664,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2025-09-15 19:39:40.3678354,2025-12-21 11:00:19.8362723,2025-12-21 11:00:19.8871092,,2025-12-21 11:29:57.7508608,2025-12-21 11:25:15.4032043,2025-12-21 11:29:57.7597577,2025-12-21 11:18:55.5829240,290319000,1431368279,1683,,,,2025-09-15T19:39:40.367835,2025-12-21T11:00:19.836272,2025-12-21T11:00:19.887109,-8349639,TIMESTOMP_BACKDATE,"",80
5951,6,true,6707,2,.\Windows\System32\spool\drivers\x64\3,PJLMON.DLL,.DLL,49152,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3522077,2025-12-21 11:00:19.8942277,2025-12-21 11:00:19.8994405,,2025-12-21 11:25:15.4791062,2025-12-21 11:25:15.4223323,2025-12-21 11:27:14.3533344,2025-12-21 11:18:55.6530452,288142624,1448413613,1683,,,,2025-09-15T19:39:40.352207,2025-12-21T11:00:19.894227,2025-12-21T11:00:19.899440,-8349639,TIMESTOMP_BACKDATE,"",80
6163,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,PS5UI.DLL,.DLL,1245184,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3834709,2025-12-21 11:00:19.9145278,2025-12-21 11:00:19.9680621,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4347025,2025-12-21 11:27:14.4123677,2025-12-21 11:18:55.6359073,288143104,1448413579,1683,,,,2025-09-15T19:39:40.383470,2025-12-21T11:00:19.914527,2025-12-21T11:00:19.968062,-8349639,TIMESTOMP_BACKDATE,"",80
6302,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,PSCRIPT5.DLL,.DLL,716800,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3678354,2025-12-21 11:00:19.9782715,2025-12-21 11:00:20.0011454,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4429402,2025-12-21 11:27:14.4428652,2025-12-21 11:18:55.6018800,288143624,1448413867,1683,,,,2025-09-15T19:39:40.367835,2025-12-21T11:00:19.978271,2025-12-21T11:00:20.001145,-8349639,TIMESTOMP_BACKDATE,"",80
6303,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,UNIDRV.DLL,.DLL,638976,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3678354,2025-12-21 11:00:20.0108120,2025-12-21 11:00:20.0306240,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4549542,2025-12-21 11:27:14.4684797,2025-12-21 11:18:55.5693343,288144112,1448413935,1683,,,,2025-09-15T19:39:40.367835,2025-12-21T11:00:20.010812,2025-12-21T11:00:20.030624,-8349639,TIMESTOMP_BACKDATE,"",80
6308,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,UNIDRVUI.DLL,.DLL,1335296,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.4147139,2025-12-21 11:00:20.0445370,2025-12-21 11:00:20.0982773,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4658884,2025-12-21 11:27:14.5146799,2025-12-21 11:18:55.6310035,288144632,1448413969,1683,,,,2025-09-15T19:39:40.414713,2025-12-21T11:00:20.044537,2025-12-21T11:00:20.098277,-8349639,TIMESTOMP_BACKDATE,"",80
6474,13,true,6707,2,.\Windows\System32\spool\drivers\x64\3,UNIRES.DLL,.DLL,864256,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3990841,2025-12-21 11:00:20.1090298,2025-12-21 11:00:20.1246295,,2025-12-21 11:25:15.4833892,2025-12-21 11:25:15.4747453,2025-12-21 11:27:14.5370754,2025-12-21 11:18:55.5619034,288145120,1448414465,1683,,,,2025-09-15T19:39:40.399084,2025-12-21T11:00:20.109029,2025-12-21T11:00:20.124629,-8349639,TIMESTOMP_BACKDATE,"",80
71292,1,true,6711,2,.\Windows\System32\spool\prtprocs\x64,winprint.dll,.dll,77824,3,,false,false,false,true,false,false,Archive|RecallOnOpen,Posix,2025-09-15 19:40:08.4228220,2025-12-21 10:31:48.3029648,2025-09-15 19:40:08.4228220,2025-12-21 10:31:51.2575021,2025-12-21 11:25:14.8648217,2025-12-21 10:31:51.2575021,2025-12-24 21:52:55.3737869,2025-12-21 10:31:48.3055405,288135416,1563623527,265,,$DSC,,2025-09-15T19:40:08.422822,2025-12-21T10:31:48.302964,2025-09-15T19:40:08.422822,-8347899,TIMESTOMP_BACKDATE,"",80
71294,1,true,6713,2,.\Windows\System32\spool\tools,PrintBrmPs.dll,.dll,45056,3,,false,false,false,true,false,false,Archive|RecallOnOpen,Posix,2025-09-15 19:40:08.4696980,2025-12-21 10:31:48.3055405,2025-09-15 19:40:08.4696980,2025-12-21 10:31:51.2767971,2025-12-21 11:14:10.4471366,2025-12-21 10:31:51.2767971,2025-09-15 19:40:08.4696980,2025-12-21 10:31:48.3055405,242030536,1197696879,265,,$DSC,,2025-09-15T19:40:08.469698,2025-12-21T10:31:48.305540,2025-09-15T19:40:08.469698,-8347899,TIMESTOMP_BACKDATE,"",80
100641,2,true,134038,3,.\Windows\System32\spool\drivers\W32X86\3,mxdwdrv.dll,.dll,1173504,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.4147139,2025-12-21 11:00:20.1591370,2025-12-21 11:00:20.2325263,,2025-12-21 11:29:53.3544895,2025-12-21 11:29:53.1391731,2025-12-21 11:29:53.3592617,2025-12-21 11:12:57.1720389,290278600,1448543563,1683,,,,2025-09-15T19:39:40.414713,2025-12-21T11:00:20.159137,2025-12-21T11:00:20.232526,-8349639,TIMESTOMP_BACKDATE,"",80
100661,2,true,134038,3,.\Windows\System32\spool\drivers\W32X86\3,PrintConfig.dll,.dll,3276800,1,,false,false,false,true,false,false,Archive,Windows,2025-09-15 19:39:40.6334754,2025-12-21 11:00:21.7765598,2025-12-21 11:00:21.9313236,,2025-12-21 11:29:53.3566859,2025-12-21 11:29:53.3059896,2025-12-21 11:12:57.2120691,,290279168,1431212563,1683,,,,2025-09-15T19:39:40.633475,2025-12-21T11:00:21.776559,2025-12-21T11:00:21.931323,-8349641,TIMESTOMP_BACKDATE,"",80
131728,5,true,6707,2,.\Windows\System32\spool\drivers\x64\3,PrintConfig.dll,.dll,3842048,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2025-09-15 19:39:40.6647141,2025-12-21 11:00:21.5095096,2025-12-21 11:00:21.7123067,,2025-12-21 11:29:57.6454610,2025-12-21 11:29:56.6604720,2025-12-24 21:52:55.4820866,2025-12-21 11:27:15.0944503,290318176,1563623982,1683,,,,2025-09-15T19:39:40.664714,2025-12-21T11:00:21.509509,2025-12-21T11:00:21.712306,-8349640,TIMESTOMP_BACKDATE,"",80
36114,3,false,1750,2,.\PathUnknown\Directory with ID 0x000006D6-00000002,SecHealthUITelemetry.dll,.dll,57856,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:39.1975916,2025-12-21 10:30:40.3817035,2024-04-01 16:38:39.1975916,2025-12-21 10:30:40.3817035,2025-12-21 12:08:38.1439107,2025-12-21 10:30:40.3817035,2025-12-21 12:08:38.1462549,2025-12-21 10:30:40.3817035,292416080,1563690233,1450,,,,2024-04-01T16:38:39.197591,2025-12-21T10:30:40.381703,2024-04-01T16:38:39.197591,-54323521,TIMESTOMP_BACKDATE,"",80
36250,3,false,1750,2,.\PathUnknown\Directory with ID 0x000006D6-00000002,SecHealthUIDataModel.dll,.dll,3079680,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:39.1663418,2025-12-21 10:30:40.4284990,2024-04-01 16:38:39.1975916,2025-12-21 10:30:40.4284990,2025-12-21 12:08:38.7865547,2025-12-21 10:30:40.4284990,2025-12-21 12:08:38.7913125,2025-12-21 10:30:40.4284990,292418280,1563690068,1450,,,,2024-04-01T16:38:39.166341,2025-12-21T10:30:40.428499,2024-04-01T16:38:39.197591,-54323521,TIMESTOMP_BACKDATE,"",80
36353,3,false,1750,2,.\PathUnknown\Directory with ID 0x000006D6-00000002,SecHealthUI.exe,.exe,4353536,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:39.1038381,2025-12-21 10:30:40.4555903,2024-04-01 16:38:39.1511151,2025-12-21 10:30:40.4555903,2025-12-21 12:08:36.7458688,2025-12-21 10:30:40.4555903,2025-12-21 12:08:36.7715668,2025-12-21 10:30:40.4555903,292406736,1563689897,1450,,,,2024-04-01T16:38:39.103838,2025-12-21T10:30:40.455590,2024-04-01T16:38:39.151115,-54323521,TIMESTOMP_BACKDATE,"",80
36359,3,false,1750,2,.\PathUnknown\Directory with ID 0x000006D6-00000002,SecHealthUIViewModels.dll,.dll,4252160,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:39.2132026,2025-12-21 10:30:40.4577939,2024-04-01 16:38:39.2600943,2025-12-21 10:30:40.4577939,2025-12-21 12:08:38.6259898,2025-12-21 10:30:40.4577939,2025-12-21 12:08:38.6336142,2025-12-21 10:30:40.4577939,292417296,1563690431,1450,,,,2024-04-01T16:38:39.213202,2025-12-21T10:30:40.457793,2024-04-01T16:38:39.260094,-54323521,TIMESTOMP_BACKDATE,"",80
38038,3,false,2113,2,.\PathUnknown\Directory with ID 0x00000841-00000002,Notepad.exe,.exe,1264128,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2024-04-01 16:39:43.4713115,2025-12-21 10:30:41.9056214,2024-04-01 16:39:43.4869961,2025-12-21 10:30:41.9056214,2025-12-21 12:25:54.7786632,2025-12-21 10:30:41.9056214,2025-12-21 12:25:54.7912544,2025-12-21 10:30:41.9056214,302334024,1565542566,1554,,,,2024-04-01T16:39:43.471311,2025-12-21T10:30:41.905621,2024-04-01T16:39:43.486996,-54323458,TIMESTOMP_BACKDATE,"",80
38049,3,false,2116,2,.\PathUnknown\Directory with ID 0x00000844-00000002,NotepadExplorerCommand.dll,.dll,288256,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:39:43.3932787,2025-12-21 10:30:41.9105614,2024-04-01 16:39:43.3932787,2025-12-21 10:30:41.9105614,2025-12-21 11:31:12.4545658,2025-12-21 10:30:41.9105614,2025-12-21 12:12:23.7319078,2025-12-21 10:30:41.9105614,290873080,1565548150,1554,,,,2024-04-01T16:39:43.393278,2025-12-21T10:30:41.910561,2024-04-01T16:39:43.393278,-54323458,TIMESTOMP_BACKDATE,"",80
38050,3,false,2113,2,.\PathUnknown\Directory with ID 0x00000841-00000002,msptls.dll,.dll,1771960,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2024-04-01 16:39:43.4400308,2025-12-21 10:30:41.9121772,2024-04-01 16:39:43.4713115,2025-12-21 10:30:41.9121772,2025-12-21 12:25:55.1995829,2025-12-21 10:30:41.9121772,2025-12-21 12:25:55.2046865,2025-12-21 10:30:41.9121772,302334624,1565542434,1554,,,,2024-04-01T16:39:43.440030,2025-12-21T10:30:41.912177,2024-04-01T16:39:43.471311,-54323458,TIMESTOMP_BACKDATE,"",80
38403,3,false,2113,2,.\PathUnknown\Directory with ID 0x00000841-00000002,NotepadXamlUI.dll,.dll,3956224,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:39:43.5025815,2025-12-21 10:30:42.4061249,2024-04-01 16:39:43.5338728,2025-12-21 10:30:42.4061249,2025-12-21 12:25:55.0822064,2025-12-21 10:30:42.4061249,2025-12-21 12:25:55.0964348,2025-12-21 10:30:42.4061249,302334528,1565547177,1554,,,,2024-04-01T16:39:43.502581,2025-12-21T10:30:42.406124,2024-04-01T16:39:43.533872,-54323458,TIMESTOMP_BACKDATE,"",80
38430,3,false,2113,2,.\PathUnknown\Directory with ID 0x00000841-00000002,riched20.dll,.dll,3128840,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2024-04-01 16:39:43.5806551,2025-12-21 10:30:42.4157817,2024-04-01 16:39:43.6275267,2025-12-21 10:30:42.4157817,2025-12-21 12:25:55.2563083,2025-12-21 10:30:42.4157817,2025-12-21 12:25:55.2659141,2025-12-21 10:30:42.4157817,302334792,1565547745,1554,,,,2024-04-01T16:39:43.580655,2025-12-21T10:30:42.415781,2024-04-01T16:39:43.627526,-54323458,TIMESTOMP_BACKDATE,"",80
39422,3,false,2249,2,.\PathUnknown\Directory with ID 0x000008C9-00000002,GamePassWidget.exe,.exe,34104,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:42:46.8510636,2025-12-21 10:30:42.8743899,2024-04-01 16:42:46.8510636,2025-12-21 10:30:42.8743899,2025-12-21 10:37:38.2035399,2025-12-21 10:30:42.8743899,2025-12-21 10:37:38.2014152,2025-12-21 10:30:42.8743899,50263384,1565180755,1655,,,,2024-04-01T16:42:46.851063,2025-12-21T10:30:42.874389,2024-04-01T16:42:46.851063,-54323276,TIMESTOMP_BACKDATE,"",80
39452,3,false,2252,2,.\PathUnknown\Directory with ID 0x000008CC-00000002,WebView2Loader.dll,.dll,156968,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:42:45.9135425,2025-12-21 10:30:42.8923093,2024-04-01 16:42:45.9292307,2025-12-21 10:30:42.8923093,2025-12-21 11:25:53.9510334,2025-12-21 10:30:42.8923093,2025-12-21 12:11:50.7333303,2025-12-21 10:30:42.8923093,288241688,1565177575,1655,,,,2024-04-01T16:42:45.913542,2025-12-21T10:30:42.892309,2024-04-01T16:42:45.929230,-54323276,TIMESTOMP_BACKDATE,"",80
39455,3,false,2249,2,.\PathUnknown\Directory with ID 0x000008C9-00000002,GamePassWidgetAppService.dll,.dll,862008,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:42:46.8510636,2025-12-21 10:30:42.8944596,2024-04-01 16:42:46.8667618,2025-12-21 10:30:42.8944596,2025-12-21 10:37:38.2105072,2025-12-21 10:30:42.8944596,2025-12-21 10:37:38.2079544,2025-12-21 10:30:42.8944596,50263720,1565180919,1655,,,,2024-04-01T16:42:46.851063,2025-12-21T10:30:42.894459,2024-04-01T16:42:46.866761,-54323276,TIMESTOMP_BACKDATE,"",80
39456,3,false,2252,2,.\PathUnknown\Directory with ID 0x000008CC-00000002,WidgetPicker.dll,.dll,587048,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:42:45.9292307,2025-12-21 10:30:42.8944596,2024-04-01 16:42:45.9292307,2025-12-21 10:30:42.8944596,2025-12-21 10:37:37.8236566,2025-12-21 10:30:42.8944596,2025-12-21 10:37:37.8236566,2025-12-21 10:30:42.8944596,50259120,1565177736,1655,,,,2024-04-01T16:42:45.929230,2025-12-21T10:30:42.894459,2024-04-01T16:42:45.929230,-54323276,TIMESTOMP_BACKDATE,"",80
39459,3,false,2252,2,.\PathUnknown\Directory with ID 0x000008CC-00000002,WidgetService.exe,.exe,207144,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:42:46.1792429,2025-12-21 10:30:42.8944596,2024-04-01 16:42:46.1792429,2025-12-21 10:30:42.8944596,2025-12-21 11:31:37.1351890,2025-12-21 10:30:42.8944596,2025-12-21 11:31:37.1377418,2025-12-21 10:30:42.8944596,290921656,1565179710,1655,,,,2024-04-01T16:42:46.179242,2025-12-21T10:30:42.894459,2024-04-01T16:42:46.179242,-54323276,TIMESTOMP_BACKDATE,"",80
39460,3,false,2252,2,.\PathUnknown\Directory with ID 0x000008CC-00000002,Microsoft.Windows.Widgets.dll,.dll,1726248,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:42:38.2257227,2025-12-21 10:30:42.8944596,2024-04-01 16:42:38.2570369,2025-12-21 10:30:42.8944596,2025-12-21 11:31:37.0588169,2025-12-21 10:30:42.8944596,2025-12-21 11:31:37.1740134,2025-12-21 10:30:42.8944596,290921536,1563701619,1655,,,,2024-04-01T16:42:38.225722,2025-12-21T10:30:42.894459,2024-04-01T16:42:38.257036,-54323284,TIMESTOMP_BACKDATE,"",80
39481,3,false,2252,2,.\PathUnknown\Directory with ID 0x000008CC-00000002,wv2winrt.dll,.dll,1703208,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2024-04-01 16:42:46.1792429,2025-12-21 10:30:42.8995293,2024-04-01 16:42:46.2104283,2025-12-21 10:30:42.8995293,2025-12-21 10:37:37.9511020,2025-12-21 10:30:42.8995293,2025-12-21 10:37:37.9488534,2025-12-21 10:30:42.8995293,50262288,1565179845,1655,,,,2024-04-01T16:42:46.179242,2025-12-21T10:30:42.899529,2024-04-01T16:42:46.210428,-54323276,TIMESTOMP_BACKDATE,"",80
39642,3,false,2252,2,.\PathUnknown\Directory with ID 0x000008CC-00000002,Widgets.exe,.exe,2596136,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2024-04-01 16:42:46.1479297,2025-12-21 10:30:42.9722864,2024-04-01 16:42:46.1792429,2025-12-21 10:30:42.9722864,2025-12-21 11:25:53.8069521,2025-12-21 10:30:42.9722864,2025-12-21 12:11:50.0220896,2025-12-21 10:30:42.9722864,288241304,1565179550,1655,,,,2024-04-01T16:42:46.147929,2025-12-21T10:30:42.972286,2024-04-01T16:42:46.179242,-54323276,TIMESTOMP_BACKDATE,"",80
