TimeCreated,EventId,Provider,ProcessId,ThreadId,Sphinx_Score,Original_Snippet,Decoded_Hint,Sphinx_Tags
2025-12-27 12:36:40.1140697,4104,Unknown,3460,684,250,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@",[Base64(UTF-16LE)] 䕉⡘敎⵷扏敪瑣丠瑥圮扥汃敩瑮⸩潄湷潬摡瑓楲杮✨瑨灴⼺ㄯ⸰〱ㄮ⸰〱猯敨汬⤧,DECODED(Base64(UTF-16LE)) ATTACK_SIG_DETECTED POTENTIAL_SEED
2025-12-21 12:25:39.3734833,4104,Unknown,7528,4120,150,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@","{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""# 1. Defender除外設定 (C:\\AtomicRedTeam を聖域化), Write-Host \""[*] Adding",HIGH_ENTROPY ATTACK_SIG_DETECTED POTENTIAL_SEED
2025-12-21 12:25:39.6728877,4104,Unknown,7528,4120,150,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""10""},{""@Name"":""MessageTotal"",""#text"":""17""},{",[Base64(UTF-16LE)] 먾礭拋炢舠겷⮲鷞Ⳬ,DECODED(Base64(UTF-16LE)) ATTACK_SIG_DETECTED
2025-12-21 12:25:39.7395126,4104,Unknown,7528,4120,150,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@",[Base64(UTF-16LE)] 進蕞뚢㖥烫릢阁⒇碊먑걗,DECODED(Base64(UTF-16LE)) ATTACK_SIG_DETECTED
2025-12-27 10:20:14.1717001,4104,Unknown,7528,4120,150,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@","{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":""&lt;#,     .SYNOPSIS,     SkiaHelios Validation Setup (GUID Edition",HIGH_ENTROPY ATTACK_SIG_DETECTED POTENTIAL_SEED
2025-12-27 12:36:23.1082840,4103,Unknown,11368,9496,150,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        重要度 = Informational,         ホスト名 = Co","{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        重要度 = Informational,         ホスト名 = ConsoleHost,         ホストのバージョン = 5.1.26100.7462,         ホスト ID = 47db40c0-5a53-46ba-9316-2443a23233b3",HIGH_ENTROPY ATTACK_SIG_DETECTED POTENTIAL_SEED
2025-12-27 12:36:23.1078965,800,Unknown,11368,0,150,"{""EventData"":{""Data"":""\tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=71\n\n\tUserId=DESKTOP","{""EventData"":{""Data"":""\tDetailSequence=1\n\tDetailTotal=1\n\n\tSequenceNumber=71\n\n\tUserId=DESKTOP-U7UOT5J\\user\n\tHostName=ConsoleHost\n\tHostVersion=5.1.26100.7462\n\tHostId=47db40c0-5a53-46ba-93",HIGH_ENTROPY ATTACK_SIG_DETECTED POTENTIAL_SEED
2025-12-21 12:25:43.9815808,4103,Unknown,7528,4120,100,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        重要度 = Informational,         ホスト名 = Co","{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        重要度 = Informational,         ホスト名 = ConsoleHost,         ホストのバージョン = 5.1.26100.7462,         ホスト ID = f03b6ddf-2e4c-4ba3-83ec-e27a23d9e234",HIGH_ENTROPY ATTACK_SIG_DETECTED
2025-12-21 12:25:44.0702456,4103,Unknown,7528,4120,100,"{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        重要度 = Informational,         ホスト名 = Co","{""EventData"":{""Data"":[{""@Name"":""ContextInfo"",""#text"":""        重要度 = Informational,         ホスト名 = ConsoleHost,         ホストのバージョン = 5.1.26100.7462,         ホスト ID = f03b6ddf-2e4c-4ba3-83ec-e27a23d9e234",HIGH_ENTROPY ATTACK_SIG_DETECTED
2025-12-21 12:26:17.1607779,4104,Unknown,7528,4120,100,"{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@","{""EventData"":{""Data"":[{""@Name"":""MessageNumber"",""#text"":""1""},{""@Name"":""MessageTotal"",""#text"":""1""},{""@Name"":""ScriptBlockText"",""#text"":"", $artConfig = [PSCustomObject]@{,   # [optional] These two configs are calculated programatically, you probably don't need to change them,   basehostname               = $((hostname | Select-String -Pattern \""(.*?)(-[0-9a-fA-F]{8}-([0-9a-fA-F]{4}-){3}[0-9a-fA-F]{12})?$\"").Matches.Groups[1].value),   OS                         = $( if ($IsLinux) { \""linux\"" } elseif ($IsMacOS) { \""macos\"" } else { \""windows\"" }),   # [optional(if using default install paths)] Paths to your Atomic Red Team \""atomics\"" folder and your \""invoke-atomicredteam\"" folder,   PathToInvokeFolder         = Join-Path $( if ($IsLinux -or $IsMacOS) { \""~\"" } else { \""C:\"" })  \""/AtomicRedTeam/invoke-atomicredteam\"" # this is the default install path so you probably don't need to change this,   PathToPublicAtomicsFolder  = Join-Path $( if ($IsLinux -or $IsMacOS) { \""~\"" } else { \""C:\"" })  \""AtomicRedTeam/atomics\"" # this is the default install path so you probably don't need to change this,   PathToPrivateAtomicsFolder = Join-Path $( if ($IsLinux -or $IsMacOS) { \""~\"" } else { \""C:\"" })   \""PrivateAtomics/atomics\"" # if you aren't providing your own private atomics that are custom written by you, just leave this as is,   # [ Optional ] The user that will be running each atomic test,   user                       = $( if ($IsLinux -or $IsMacOS) { $env:USER } else { \""$env:USERDOMAIN\\$env:USERNAME\"" }) # example \""corp\\atomicrunner\"",   # [optional] the path where you want the folder created that houses the logs and the runner schedule. Defaults to users home directory,   basePath                   = $( if (!$IsLinux -and !$IsMacOS) { $env:USERPROFILE } else { $env:HOME }) # example \""C:\\Users\\atomicrunner\"",   # [optional],   scheduleTimeSpan           = New-TimeSpan -Days 7 # the time in which all tests on the schedule should complete,   kickOffDelay               = New-TimeSpan -Minutes 0 # an additional delay before Invoke-KickoffAtomicRunner calls Invoke-AtomicRunner,   scheduleFileName           = \""AtomicRunnerSchedule.csv\"",   # [optional] Logging Module, uses Syslog-ExecutionLogger if left blank and the syslogServer and syslogPort are set, otherwise it uses the Default-ExecutionLogger,   LoggingModule              = '',   # [optional] Syslog configuration, default execution logs will be sent to this server:port,   syslogServer               = '' # set to empty string '' if you don't want to log atomic execution details to a syslog server (don't includle http(s):\\\\),   syslogPort                 = 514,   syslogProtocol             = 'UDP' # options are UDP, TCP, TCPwithTLS,   verbose                    = $true; # set to true for more log output,   # [optional] log location configuration,   logFolder                  = \""AtomicRunner-Logs\"",   # amsi bypass script block (applies to Windows only),   absb                       = $null,   # AtomicRunnerService install directory,   ServiceInstallDir                 = \""${ENV:windir}\\System32\"", }, # [optional] log filename configuration, # For log filenames to update with the current time when they are accessed, they need to be initiated as ScriptProperty properties, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""timeLocal\"",   Value       = { (Get-Date(get-date) -uformat \""%Y-%m-%d\"").ToString() }, }, Add-Member @scriptParam, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""logFileName\"",   Value       = { \""$($artConfig.timeLocal)`_$($artConfig.basehostname)-ExecLog.csv\"" }, }, Add-Member @scriptParam, # If you create a file called privateConfig.ps1 in the same directory as you installed Invoke-AtomicRedTeam you can overwrite any of these settings with your custom values, $root = Split-Path (Split-Path $PSScriptRoot -Parent) -Parent, $pathToPrivateConfig = Join-Path $root \""privateConfig.ps1\"", if (Test-Path ($pathToPrivateConfig)) {,   if ($IsLinux -or $IsMacOS) {,     chmod +x $pathToPrivateConfig,   },   &amp; ($pathToPrivateConfig), }, #####################################################################################, # All of the configs below are calculated using the script block in the \""Value\"" field., # This way, when you change the 'basePath' everything else is updated., # You should probably leave all of the stuff below alone., #####################################################################################, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""runnerFolder\"",   Value       = { Join-Path $artConfig.basePath \""AtomicRunner\"" }, }, Add-Member @scriptParam, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""atomicLogsPath\"",   Value       = {,     if (($artConfig.logFolder -match \""^[A-Za-z]:\\\\\"") -or ($artConfig.logFolder -match \""^/\"")) {,       $artConfig.logFolder,     } else {,       Join-Path $artConfig.basePath $artConfig.logFolder,     },   }, }, Add-Member @scriptParam, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""scheduleFile\"",   Value       = { Join-Path $artConfig.runnerFolder  $artConfig.scheduleFileName }, }, Add-Member @scriptParam, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""credFile\"",   Value       = { Join-Path $artConfig.runnerFolder \""psc_$($artConfig.basehostname).txt\"" }, }, Add-Member @scriptParam, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""execLogPath\"",   Value       = { Join-Path $artConfig.atomicLogsPath $artConfig.logFileName }, }, Add-Member @scriptParam, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""stopFile\"",   Value       = { Join-Path $artConfig.runnerFolder \""stop.txt\"" }, }, Add-Member @scriptParam, $scriptParam = @{,   MemberType  = \""ScriptProperty\"",   InputObject = $artConfig,   Name        = \""logFile\"",   Value       = { Join-Path $artConfig.atomicLogsPath \""log-$($artConfig.basehostname).txt\"" }, }, Add-Member @scriptParam, ""},{""@Name"":""ScriptBlockId"",""#text"":""7761fc57-2ef2-4528-bc07-cae605d94521""},{""@Name"":""Path"",""#text"":""C:\\AtomicRedTeam\\invoke-atomicredteam\\Public\\config.ps1""}]}}",ATTACK_SIG_DETECTED POTENTIAL_SEED
